2026-08-27T19:04:16.188Z  INFO 1 --- [           main] -/- - - - - com.guided.orci.OrciApplication          : Starting OrciApplication using Java 21.0.12 with PID 1 (/app/classes started by root in /)
2026-08-27T19:04:16.189Z DEBUG 1 --- [           main] -/- - - - - com.guided.orci.OrciApplication          : Running with Spring Boot v4.1.0, Spring v7.0.8
2026-08-27T19:04:16.190Z  INFO 1 --- [           main] -/- - - - - com.guided.orci.OrciApplication          : The following 2 profiles are active: "local", "docker"
2026-08-27T19:04:18.875Z  WARN 1 --- [           main] -/- - - - - org.hibernate.orm.deprecation            : HHH90000025: PostgreSQLDialect does not need to be specified explicitly using 'hibernate.dialect' (remove the property setting and it will be selected by default)
2026-08-27T19:04:19.562Z  INFO 1 --- [           main] -/- - - - - c.g.o.c.h.CustomObjectMapperSupplier     : registered modules: [com.fasterxml.jackson.datatype.jdk8.Jdk8Module, jackson-datatype-jsr310, jackson-module-parameter-names, orci-jackson-module]
2026-08-27T19:04:19.968Z  WARN 1 --- [           main] -/- - - - - org.hibernate.orm.cache                  : HHH90001006: Missing cache region [default-update-timestamps-region] was created with provider-specific default policies. Explicitly configure the region and its policies, or disable this warning by setting 'hibernate.javax.cache.missing_cache_strategy' to 'create'.
2026-08-27T19:04:20.010Z  WARN 1 --- [           main] -/- - - - - org.hibernate.orm.cache                  : HHH90001006: Missing cache region [default-query-results-region] was created with provider-specific default policies. Explicitly configure the region and its policies, or disable this warning by setting 'hibernate.javax.cache.missing_cache_strategy' to 'create'.
2026-08-27T19:04:21.601Z  WARN 1 --- [           main] -/- - - - - i.m.c.i.c.CompositeMeterRegistry         : A MeterRegistry is being added to this CompositeMeterRegistry that already has registered Meters. Meter recordings (e.g. increments, recordings) that occurred before this registry was added will not be reflected in it. If adding the registry after registering meters was not intentional, update your configuration to add all MeterRegistries to the composite before registering any Meters. Note that subsequent logs will be logged at debug level.
2026-08-27T19:04:22.022Z DEBUG 1 --- [           main] -/- - - - - c.g.orci.web.filter.AdminAuditFilter     : Filter 'adminAuditFilterRegistration' configured for use
2026-08-27T19:04:22.022Z DEBUG 1 --- [           main] -/- - - - - c.guided.orci.web.filter.TraceIDFilter   : Filter 'traceIDFilter' configured for use
2026-08-27T19:04:22.022Z DEBUG 1 --- [           main] -/- - - - - c.guided.orci.web.filter.TenantFilter    : Filter 'tenantFilter' configured for use
2026-08-27T19:04:22.023Z DEBUG 1 --- [           main] -/- - - - - c.g.o.web.filter.mgb.MGBLoginDeptFilter  : Filter 'MGBLoginDeptFilter' configured for use
2026-08-27T19:04:22.023Z DEBUG 1 --- [           main] -/- - - - - c.g.o.web.filter.ClearMDCContextFilter   : Filter 'clearMDCContextFilter' configured for use
2026-08-27T19:04:22.023Z DEBUG 1 --- [           main] -/- - - - - com.guided.orci.web.filter.AuditFilter   : Filter 'auditFilter' configured for use
2026-08-27T19:04:22.023Z DEBUG 1 --- [           main] -/- - - - - c.g.orci.web.filter.UserIdContextFilter  : Filter 'userIdContextFilter' configured for use
2026-08-27T19:04:22.103Z  INFO 1 --- [           main] -/- - - - - c.g.o.c.d.DatabaseSchemaConfiguration    : Ensured schema exists: demo-demo
2026-08-27T19:04:22.103Z  INFO 1 --- [           main] -/- - - - - c.g.o.c.d.DatabaseSchemaConfiguration    : Ensured schema exists: mgb-mgh
2026-08-27T19:04:22.104Z  INFO 1 --- [           main] -/- - - - - c.g.o.c.d.DatabaseSchemaConfiguration    : Ensured schema exists: mgb-icsnh
